CaseID,Weight,AttentionToPolitics,StateOfRegistration,VoteInPrimary,HopefulAboutUS,AfraidAboutUS,OutragedAboutUS,AngryAboutUS,HappyAboutUS,WorriedAboutUS,ProudAboutUS,IrritatedAboutUS,NervousAboutUS,PresApproval,BidenTherm,TrumpTherm,DemPartyTherm,GOPPartyTherm,SCOTUSTherm,RConservatism,BidenConservatism,TrumpConservatism,SCOTUSAbortionUpset,GeerVCTYear,GeerLookup,HowManyChildren,RHHLaborUnion,RFemale,RLatino,RAge,REducation
200015,0.8808871,2,40,1,3,5,5,5,1,5,1,5,1,1,0,100,0,85,100,6,1,5,2,1896,1,0,0,0,1,46,4
200022,1.071836159,4,16,1,1,3,3,3,1,3,1,3,3,4,0,0,0,50,50,4,7,2,7,1963,NA,1,0,1,0,37,3
200039,0.609030747,1,51,1,1,5,5,5,1,5,1,5,5,4,65,0,60,0,25,2,3,7,7,2017,NA,2,0,1,0,40,2
200046,0.741575768,2,6,0,2,4,4,2,2,4,2,4,4,4,70,15,50,70,85,3,6,4,4,1896,1,1,0,0,0,41,3
200053,0.942968665,2,8,1,4,4,3,3,3,4,4,3,3,1,15,85,20,70,60,5,1,4,2,2010,NA,0,0,0,0,72,5
200060,0.37649743,1,48,0,1,5,5,5,1,5,1,5,5,4,85,0,85,15,60,4,3,6,4,2000,NA,0,0,1,0,71,3
200084,0.566038058,4,55,0,4,3,4,4,2,4,3,4,4,3,50,75,15,75,70,4,4,4,3,1896,1,3,0,1,0,37,3
200091,1.115746305,4,NA,0,4,1,1,1,4,1,4,1,1,1,50,100,50,100,50,NA,5,5,4,2011,NA,0,0,1,0,45,2
200107,1.267896257,3,4,0,3,3,3,3,3,3,1,4,3,4,85,0,NA,NA,50,NA,6,4,6,1900,NA,0,0,1,0,70,2
200114,2.044737299,2,6,0,1,3,3,4,2,2,1,4,3,4,85,0,60,50,50,NA,3,4,4,1956,NA,0,0,0,1,43,3
200121,1.449022873,4,24,0,1,5,5,5,1,5,1,5,5,4,100,0,100,0,40,NA,4,1,7,1985,NA,2,0,1,1,37,2
200138,0.98738415,4,55,0,1,5,3,3,1,4,1,4,5,4,60,0,50,30,50,4,3,6,4,2000,NA,2,0,0,0,55,2
200152,0.363006601,2,NA,0,2,5,5,5,1,5,2,4,4,1,0,100,0,85,0,6,2,6,4,1978,NA,1,0,1,0,30,2
200169,0.469838071,1,51,1,1,5,5,5,1,5,1,5,5,4,85,0,85,0,30,3,3,7,6,1970,NA,2,0,0,0,38,5
200176,1.566691521,4,NA,0,2,3,1,1,2,3,3,1,3,2,60,40,60,40,60,4,3,1,4,1800,NA,1,0,1,0,41,3
200183,0.553720418,2,NA,0,4,3,5,5,1,5,1,5,5,1,0,100,0,100,60,6,1,6,4,1960,NA,0,0,0,1,66,3
200190,1.0426442,1,25,0,2,4,4,4,1,5,3,4,4,4,60,0,40,30,40,3,2,5,4,2004,NA,2,0,0,0,54,4
200206,0.737908899,2,33,1,3,5,5,5,1,5,5,4,4,4,85,0,85,16,70,3,3,6,6,1972,NA,2,1,0,0,55,4
200220,0.675171703,3,32,0,1,5,5,5,1,5,1,5,5,4,85,15,85,0,70,2,3,6,7,NA,NA,0,0,1,0,62,4
200244,0.569328083,2,55,1,2,4,3,3,2,4,2,3,4,4,70,15,85,30,90,3,2,6,4,1966,NA,0,0,1,0,80,2
200268,1.261846417,2,42,0,3,2,4,4,2,4,3,5,2,1,0,95,0,100,80,6,2,6,4,1950,NA,0,0,0,1,31,5
200275,2.009201623,2,6,0,1,5,5,5,1,5,1,5,5,4,75,0,70,15,40,4,2,7,4,1982,NA,1,0,1,1,80,1
200282,6.474714654,2,36,1,1,3,5,4,2,3,1,4,2,4,40,5,25,0,25,2,5,6,7,1978,NA,0,1,0,0,24,4
200305,2.035245691,1,4,1,5,1,1,1,3,1,4,1,1,1,0,100,30,85,50,6,1,6,2,1943,NA,3,0,0,0,55,5
200312,5.722612591,1,NA,0,1,1,2,1,2,2,1,1,1,4,0,15,60,15,70,NA,2,6,5,NA,NA,0,0,1,1,59,1
200329,0.78245781700000006,2,13,1,1,5,5,5,1,5,1,5,5,4,85,0,80,15,60,2,3,7,7,NA,NA,0,0,0,0,73,4
200343,0.798331938,3,37,0,3,2,3,3,3,2,3,4,2,1,0,100,20,100,85,NA,4,6,7,1905,NA,3,0,1,0,72,1
200374,0.670018302,4,51,0,3,3,4,3,2,3,2,3,3,2,50,60,40,50,50,5,2,6,6,2001,NA,0,0,0,0,50,4
200381,0.748903837,1,36,0,1,4,5,5,1,4,1,5,5,4,70,NA,60,0,40,5,4,7,6,1927,NA,0,0,0,0,66,5
