Year,NConstDecisions,NNulls,Age,Tenure,Unified
1789,0,0,45.5,1,1
1790,0,0,49.83333333,1.333333333,1
1791,0,0,52,2.142857143,1
1792,0,0,53,3.166666667,1
1793,1,0,53.14285714,3.714285714,0
1794,1,1,52.83333333,4.833333333,0
1795,0,0,54.14285714,5.142857143,1
1796,2,0,54.85714286,5,1
1797,0,0,54.33333333,5.666666667,1
1798,3,0,52.57142857,5.857142857,1
1799,2,0,53,6.166666667,1
1800,1,0,53.33333333,5.5,1
1801,0,0,52.66666667,5.666666667,1
1802,0,0,53.66666667,6.666666667,1
1803,1,1,54.66666667,7.666666667,1
1804,2,0,52.42857143,7.571428571,1
1805,1,0,54,9,1
1806,1,0,55,10,1
1807,2,1,52.28571429,7.571428571,1
1808,0,0,53.28571429,8.571428571,1
1809,4,0,54.28571429,9.571428571,1
1810,3,0,55.28571429,10.57142857,1
1811,0,0,53.42857143,8.571428571,1
1812,3,0,49,7.285714286,1
1813,2,0,50,8.285714286,1
1814,0,0,51,9.285714286,1
1815,0,0,52,10.28571429,1
1816,0,0,53,11.28571429,1
1817,0,0,54,12.28571429,1
1818,1,0,55,13.28571429,1
1819,4,0,56,14.28571429,1
1820,2,0,57,15.28571429,1
1821,4,0,58,16.28571429,1
1822,0,0,59,17.28571429,1
1823,1,0,59.375,16.125,1
1824,3,0,59.42857143,17,1
1825,2,0,60.42857143,18,1
1826,1,0,60,16.75,1
1827,4,0,60.85714286,17.28571429,1
1828,2,0,61.85714286,18.28571429,1
1829,3,0,64.5,21.83333333,1
1830,2,0,60,15.14285714,1
1831,1,0,61,16.14285714,1
1832,0,0,62,17.14285714,1
1833,6,0,63,18.14285714,1
1834,4,0,64,19.14285714,1
1835,0,0,62.28571429,15.71428571,1
1836,0,0,55.71428571,8.142857143,1
1837,3,0,56.11111111,7.333333333,1
1838,2,0,57.11111111,8.333333333,1
1839,2,0,58.11111111,9.333333333,1
1840,4,0,59.11111111,10.33333333,1
1841,1,0,60.11111111,11.33333333,1
1842,1,0,61,11.66666667,1
1843,2,0,62,12.66666667,1
1844,2,0,61.375,12.625,1
1845,6,1,60.33333333,10.55555556,1
1846,0,0,59.66666667,7.777777778,1
1847,4,0,60.66666667,8.777777778,0
1848,2,0,61.66666667,9.777777778,0
1849,3,0,62.66666667,10.77777778,1
1850,12,0,63.66666667,11.77777778,1
1851,4,0,62.4,11.6,1
1852,3,0,63.44444444,13.11111111,1
1853,1,0,61,12.33333333,1
1854,0,0,62,13.33333333,1
1855,10,0,63,14.33333333,0
1856,3,0,64,15.33333333,0
1857,2,1,65,16.33333333,1
1858,1,0,66.66666667,16.55555556,1
1859,2,0,67.66666667,17.55555556,0
1860,3,0,68.66666667,18.55555556,0
1861,3,0,68.75,19.5,1
1862,3,0,64.55555556,13.77777778,1
1863,2,0,63.7,13.4,1
1864,4,0,63.90909091,13.18181818,1
1865,5,0,62.6,12.6,1
1866,9,0,61.77777778,11.77777778,1
1867,5,1,62.77777778,12.77777778,1
1868,11,1,62,11.25,1
1869,10,1,63,12.25,1
1870,8,1,63.1,10.8,1
1871,16,0,62.66666667,10.22222222,1
1872,15,1,63.66666667,11.22222222,1
1873,0,0,62.66666667,9.111111111,1
1874,5,0,62.77777778,9,1
1875,4,0,63.77777778,10,0
1876,4,1,64.77777778,11,0
1877,2,0,63.6,10.9,0
1878,9,0,64.77777778,11.33333333,0
1879,12,1,65.77777778,12.33333333,1
1880,7,0,66.77777778,13.33333333,1
1881,13,0,65.1,11.9,0
1882,9,0,62,8.5,0
1883,5,1,61.88888889,9.333333333,0
1884,12,0,62.88888889,10.33333333,0
1885,25,0,63.88888889,11.33333333,0
1886,18,0,64.88888889,12.33333333,0
1887,19,1,65.88888889,13.33333333,0
1888,4,1,65.6,12.3,0
1889,18,0,65.88888889,13,0
1890,21,0,65.44444444,13,0
1891,0,0,64.22222222,10.77777778,0
1892,9,0,64.7,10.7,0
1893,10,1,63.8,9.4,1
1894,6,0,61.55555556,9.444444444,1
1895,20,2,62.55555556,10.44444444,1
1896,18,0,62.88888889,11.11111111,1
1897,18,0,63.88888889,12.11111111,1
1898,14,0,61.88888889,9.222222222,1
1899,30,2,62.88888889,10.22222222,1
1900,22,0,63.88888889,11.22222222,1
1901,20,1,64.88888889,12.22222222,1
1902,35,0,65.4,12,1
1903,34,1,64.3,10.9,1
1904,31,0,64.55555556,11.77777778,1
1905,29,1,65.55555556,12.77777778,1
1906,32,1,65.2,12.5,1
1907,24,0,65.66666667,13.11111111,1
1908,24,2,66.66666667,14.11111111,1
1909,25,1,67.66666667,15.11111111,1
1910,29,0,66,13.2,1
1911,28,2,62.88888889,10.22222222,0
1912,41,1,61.11111111,7.333333333,0
1913,39,0,62.11111111,8.333333333,1
1914,52,0,62,8.5,1
1915,25,1,62.11111111,9.888888889,1
1916,29,0,62.45454545,9.090909091,1
1917,7,0,64.77777778,10.66666667,1
1918,3,1,65.77777778,11.66666667,1
1919,2,0,66.77777778,12.66666667,1
1920,18,1,67.77777778,13.66666667,1
1921,4,2,68.3,13.3,1
1922,6,3,67.6,11.5,1
1923,8,2,66.22222222,9.555555556,1
1924,9,0,67.22222222,10.55555556,1
1925,6,0,66.7,10.5,1
1926,7,2,66,9.555555556,1
1927,10,0,67,10.55555556,1
1928,1,0,68,11.55555556,1
1929,4,1,69,12.55555556,1
1930,13,0,68.45454545,11.27272727,1
1931,12,0,69.33333333,12.77777778,0
1932,8,1,69.5,12.5,0
1933,7,0,68.11111111,11.44444444,1
1934,15,2,69.11111111,12.44444444,1
1935,12,7,70.11111111,13.44444444,1
1936,12,4,71.11111111,14.44444444,1
1937,7,0,70,14,1
1938,7,0,68.5,12.3,1
1939,14,0,64.7,10.9,1
1940,9,0,61,8.555555556,1
