caseid,wt2,wt2a,knowledge,sex,race,age,female,white,oftenvote,conservative,prayfreq,heterosexual,married,yrsofschool,income,speaker,vp,pm,cj
1,1.9227,186174.418759,3,1,4,34,0,0,3,4,2,1,1,13,23,1,1,0,1
3,2.4054999,232918.373633,1,2,1,39,1,1,4,6,5,1,1,16,13,0,1,0,0
4,2.1277001,206026.786996,0,1,1,49,0,1,2,4,2,1,1,12,11,0,0,0,0
5,3.0021,290690.939707,3,1,1,72,0,1,4,6,5,1,1,16,19,1,1,0,1
8,2.0309999,196659.528423,2,1,1,56,0,1,3,6,4,1,1,14,19,1,1,0,0
9,2.3155,224205.846596,1,2,1,40,1,1,3,6,5,1,1,14,14,0,1,0,0
10,.6142,59470.376953,2,1,2,55,0,0,4,4,5,1,0,16,19,1,1,0,0
12,2.1277001,206026.786996,2,2,1,55,1,1,3,4,4,1,1,12,19,1,1,0,0
13,2.0143001,195042.252086,4,1,1,30,0,1,4,4,3,1,0,12,9,1,1,1,1
14,1.1998,116176.741478,2,2,1,79,1,1,4,6,5,1,0,15,16,0,1,1,0
15,1.1998,116176.741478,3,2,1,77,1,1,3,5,5,1,0,15,6,0,1,1,1
16,1.5010999,145345.949564,4,2,1,72,1,1,4,4,5,1,0,17,19,1,1,1,1
17,.93730003,90758.173393,4,2,2,21,1,0,1,4,5,1,0,12,4,1,1,1,1
19,2.3004999,222758.520739,4,1,1,61,0,1,3,4,5,1,1,16,17,1,1,1,1
20,2.5409,246036.044184,4,1,1,50,0,1,4,6,4,1,1,16,19,1,1,1,1
21,2.4054999,232918.373633,3,2,1,31,1,1,2,4,5,0,0,16,12,0,1,1,1
22,1.257,121710.455437,1,2,1,87,1,1,2,2,5,1,0,12,10,0,1,0,0
24,.89840001,86988.598591,0,2,1,29,1,1,1,3,3,1,1,10,13,0,0,0,0
28,1.1546,111796.478104,0,1,1,40,0,1,2,4,2,1,0,14,14,0,0,0,0
29,.52069998,50420.929812,1,1,1,55,0,1,2,6,1,1,0,12,14,0,0,1,0
30,.47130001,45637.830566,2,1,4,37,0,0,3,4,1,1,0,15,18,0,1,0,1
32,2.5139,243420.107469,3,1,1,78,0,1,4,5,4,1,1,12,19,1,1,0,1
33,2.0309999,196659.528423,3,1,1,57,0,1,3,5,3,1,1,15,21,1,1,1,0
34,1.0944,105973.366779,3,1,1,53,0,1,2,2,2,1,0,12,8,1,1,0,1
35,2.6489,256489.793951,4,2,1,29,1,1,2,2,3,0,0,16,17,1,1,1,1
36,1.0585999,102507.667303,0,2,4,24,1,0,1,2,3,1,0,14,6,0,0,0,0
37,1.0585999,102507.667303,4,1,4,28,0,0,1,4,2,1,0,14,4,1,1,1,1
38,.50089997,48499.650501,4,1,1,52,0,1,3,4,4,1,0,16,13,1,1,1,1
40,1.0362999,100340.764295,2,1,1,63,0,1,4,2,1,1,1,17,17,1,1,0,0
41,.31639999,30632.281964,2,2,2,40,1,0,3,6,2,1,0,14,9,0,0,1,1
44,1.8297,177169.136538,3,2,1,53,1,1,4,2,1,0,0,15,13,1,1,0,1
45,1.043,100992.706955,4,2,4,46,1,0,4,7,5,1,1,17,8,1,1,1,1
47,.2992,28969.515457,3,1,1,38,0,1,3,3,4,1,0,16,13,1,1,0,1
48,.73570001,71234.59314300001,4,1,1,33,0,1,3,3,1,1,1,16,20,1,1,1,1
49,1.9572999,189524.349341,2,2,1,49,1,1,3,6,5,1,1,16,1,1,1,0,0
50,.95929998,92891.479133,3,1,1,28,0,1,1,3,1,1,0,14,14,0,1,1,1
51,1.1446,110826.039945,4,2,1,59,1,1,3,2,5,1,1,17,15,1,1,1,1
52,1.6390001,158704.765725,3,1,4,47,0,0,3,1,2,1,1,12,17,1,1,0,1
54,2.1919,212239.737562,3,2,1,25,1,1,4,3,5,1,1,13,9,0,1,1,1
55,1.7141,165978.020985,4,2,1,45,1,1,3,3,5,1,0,14,11,1,1,1,1
57,.588,56938.655234,3,1,1,33,0,1,2,3,1,1,0,13,10,0,1,1,1
60,.73390001,71061.59526,0,2,1,78,1,1,4,4,4,1,0,14,8,0,0,0,0
61,.58130002,56288.37219,3,1,1,32,0,1,2,2,2,1,1,16,15,1,0,1,1
63,.47530001,46023.687151,1,1,4,25,0,0,1,6,3,1,0,14,12,0,0,0,1
64,.8689,84131.57846400001,2,1,1,53,0,1,1,2,4,1,0,14,25,1,1,0,0
65,2.4834001,240467.73054,3,2,1,28,1,1,3,2,2,0,1,17,11,1,1,1,0
