Year,NNulls,Age,Tenure,Unified
1789,0,45.5,1,1
1790,0,49.83333333,1.333333333,1
1791,0,52,2.142857143,1
1792,0,53,3.166666667,1
1793,0,53.14285714,3.714285714,0
1794,1,52.83333333,4.833333333,0
1795,0,54.14285714,5.142857143,1
1796,0,54.85714286,5,1
1797,0,54.33333333,5.666666667,1
1798,0,52.57142857,5.857142857,1
1799,0,53,6.166666667,1
1800,0,53.33333333,5.5,1
1801,0,52.66666667,5.666666667,1
1802,0,53.66666667,6.666666667,1
1803,1,54.66666667,7.666666667,1
1804,0,52.42857143,7.571428571,1
1805,0,54,9,1
1806,0,55,10,1
1807,1,52.28571429,7.571428571,1
1808,0,53.28571429,8.571428571,1
1809,0,54.28571429,9.571428571,1
1810,0,55.28571429,10.57142857,1
1811,0,53.42857143,8.571428571,1
1812,0,49,7.285714286,1
1813,0,50,8.285714286,1
1814,0,51,9.285714286,1
1815,0,52,10.28571429,1
1816,0,53,11.28571429,1
1817,0,54,12.28571429,1
1818,0,55,13.28571429,1
1819,0,56,14.28571429,1
1820,0,57,15.28571429,1
1821,0,58,16.28571429,1
1822,0,59,17.28571429,1
1823,0,59.375,16.125,1
1824,0,59.42857143,17,1
1825,0,60.42857143,18,1
1826,0,60,16.75,1
1827,0,60.85714286,17.28571429,1
1828,0,61.85714286,18.28571429,1
1829,0,64.5,21.83333333,1
1830,0,60,15.14285714,1
1831,0,61,16.14285714,1
1832,0,62,17.14285714,1
1833,0,63,18.14285714,1
1834,0,64,19.14285714,1
1835,0,62.28571429,15.71428571,1
1836,0,55.71428571,8.142857143,1
1837,0,56.11111111,7.333333333,1
1838,0,57.11111111,8.333333333,1
1839,0,58.11111111,9.333333333,1
1840,0,59.11111111,10.33333333,1
1841,0,60.11111111,11.33333333,1
1842,0,61,11.66666667,1
1843,0,62,12.66666667,1
1844,0,61.375,12.625,1
1845,1,60.33333333,10.55555556,1
1846,0,59.66666667,7.777777778,1
1847,0,60.66666667,8.777777778,0
1848,0,61.66666667,9.777777778,0
1849,0,62.66666667,10.77777778,1
1850,0,63.66666667,11.77777778,1
1851,0,62.4,11.6,1
1852,0,63.44444444,13.11111111,1
1853,0,61,12.33333333,1
1854,0,62,13.33333333,1
1855,0,63,14.33333333,0
1856,0,64,15.33333333,0
1857,1,65,16.33333333,1
1858,0,66.66666667,16.55555556,1
1859,0,67.66666667,17.55555556,0
1860,0,68.66666667,18.55555556,0
1861,0,68.75,19.5,1
1862,0,64.55555556,13.77777778,1
1863,0,63.7,13.4,1
1864,0,63.90909091,13.18181818,1
1865,0,62.6,12.6,1
1866,0,61.77777778,11.77777778,1
1867,1,62.77777778,12.77777778,1
1868,1,62,11.25,1
1869,1,63,12.25,1
1870,1,63.1,10.8,1
1871,0,62.66666667,10.22222222,1
1872,1,63.66666667,11.22222222,1
1873,0,62.66666667,9.111111111,1
1874,0,62.77777778,9,1
1875,0,63.77777778,10,0
1876,1,64.77777778,11,0
1877,0,63.6,10.9,0
1878,0,64.77777778,11.33333333,0
1879,1,65.77777778,12.33333333,1
1880,0,66.77777778,13.33333333,1
1881,0,65.1,11.9,0
1882,0,62,8.5,0
1883,1,61.88888889,9.333333333,0
1884,0,62.88888889,10.33333333,0
1885,0,63.88888889,11.33333333,0
1886,0,64.88888889,12.33333333,0
1887,1,65.88888889,13.33333333,0
1888,1,65.6,12.3,0
1889,0,65.88888889,13,0
1890,0,65.44444444,13,0
1891,0,64.22222222,10.77777778,0
1892,0,64.7,10.7,0
1893,1,63.8,9.4,1
1894,0,61.55555556,9.444444444,1
1895,2,62.55555556,10.44444444,1
1896,0,62.88888889,11.11111111,1
1897,0,63.88888889,12.11111111,1
1898,0,61.88888889,9.222222222,1
1899,2,62.88888889,10.22222222,1
1900,0,63.88888889,11.22222222,1
1901,1,64.88888889,12.22222222,1
1902,0,65.4,12,1
1903,1,64.3,10.9,1
1904,0,64.55555556,11.77777778,1
1905,1,65.55555556,12.77777778,1
1906,1,65.2,12.5,1
1907,0,65.66666667,13.11111111,1
1908,2,66.66666667,14.11111111,1
1909,1,67.66666667,15.11111111,1
1910,0,66,13.2,1
1911,2,62.88888889,10.22222222,0
1912,1,61.11111111,7.333333333,0
1913,0,62.11111111,8.333333333,1
1914,0,62,8.5,1
1915,1,62.11111111,9.888888889,1
1916,0,62.45454545,9.090909091,1
1917,0,64.77777778,10.66666667,1
1918,1,65.77777778,11.66666667,1
1919,0,66.77777778,12.66666667,1
1920,1,67.77777778,13.66666667,1
1921,2,68.3,13.3,1
1922,3,67.6,11.5,1
1923,2,66.22222222,9.555555556,1
1924,0,67.22222222,10.55555556,1
1925,0,66.7,10.5,1
1926,2,66,9.555555556,1
1927,0,67,10.55555556,1
1928,0,68,11.55555556,1
1929,1,69,12.55555556,1
1930,0,68.45454545,11.27272727,1
1931,0,69.33333333,12.77777778,0
1932,1,69.5,12.5,0
1933,0,68.11111111,11.44444444,1
1934,2,69.11111111,12.44444444,1
1935,7,70.11111111,13.44444444,1
1936,4,71.11111111,14.44444444,1
1937,0,70,14,1
1938,0,68.5,12.3,1
1939,0,64.7,10.9,1
1940,0,61,8.555555556,1
1941,0,60.54545455,8,1
1942,0,57.44444444,6.333333333,1
1943,0,57.11111111,7.111111111,1
1944,0,58.11111111,8.111111111,1
1945,0,58.9,8.3,1
1946,1,58.4,7.7,1
1947,0,57.66666667,7.111111111,0
1948,0,58.66666667,8.111111111,0
1949,0,58.72727273,7.636363636,1
1950,0,60.11111111,8.444444444,1
1951,0,61.11111111,9.444444444,1
1952,1,62.11111111,10.44444444,1
1953,0,63,10.4,1
1954,1,64,11.66666667,1
1955,1,64.22222222,11.11111111,1
1956,0,63.7,11,1
1957,1,63.6,11.2,1
1958,1,61.5,10.2,1
1959,0,61.55555556,10.77777778,1
1960,0,62.55555556,11.77777778,1
1961,0,63.55555556,12.77777778,1
1962,0,61.81818182,11.45454545,1
1963,1,60.88888889,11.66666667,1
1964,2,61.88888889,12.66666667,1
1965,2,62.1,12.4,1
1966,0,63.66666667,14.33333333,1
1967,2,64.1,13.9,1
1968,4,64.66666667,14.33333333,1
1969,2,65.3,13.9,1
1970,3,65.11111111,14,1
1971,3,66.11111111,15,1
1972,2,62,10.22222222,1
1973,3,63,11.22222222,1
1974,3,64,12.22222222,1
1975,1,64,12,1
1976,2,63.55555556,10.22222222,1
1977,3,64.55555556,11.22222222,1
1978,1,65.55555556,12.22222222,1
1979,1,66.55555556,13.22222222,1
1980,1,67.55555556,14.22222222,1
1981,0,66.8,13.8,0
1982,2,67.88888889,13.66666667,0
1983,3,68.88888889,14.66666667,0
1984,2,69.88888889,15.66666667,0
1985,1,70.88888889,16.66666667,0
1986,1,69.7,16,0
1987,1,69.66666667,16.77777778,1
1988,1,67.44444444,16,1
1989,0,68.44444444,17,1
1990,1,67.6,16.3,1
1991,2,64.4,13.8,1
1992,1,63.33333333,13.55555556,1
1993,0,63.9,13.2,1
1994,0,62.8,11,1
1995,2,61.22222222,10.44444444,1
1996,2,62.22222222,11.44444444,1
1997,4,63.22222222,12.44444444,0
1998,1,64.22222222,13.44444444,0
1999,2,65.22222222,14.44444444,0
2000,4,66.22222222,15.44444444,0
2001,3,67.22222222,16.44444444,0
2002,2,68.22222222,17.44444444,0
2003,1,69.22222222,18.44444444,1
2004,0,70.22222222,19.44444444,1
2005,1,69.1,18.5,1
2006,0,67.5,16.1,1
2007,0,67.55555556,16,0
2008,2,68.55555556,17,0
2009,0,68.1,16.3,1
2010,3,67,15.3,1
2011,1,65.44444444,14,0
2012,1,66.44444444,15,0
2013,3,67.44444444,16,0
2014,1,68.44444444,17,0
