ID,SCOTUSApproval,TrumpApproval,KnowChiefJustice,Democrat,GOP,Female,White,Black,Education,Age
989877,3,4,0,0,1,1,1,0,9,60
989878,3,4,1,0,0,0,1,0,9,49
989880,2,1,1,1,0,0,1,0,10,60
989881,3,3,0,0,0,1,0,0,12,34
989883,3,1,1,1,0,0,1,0,13,31
989884,3,3,1,0,0,1,1,0,12,68
989888,3,4,0,0,1,0,1,0,11,61
989889,3,4,1,0,1,0,1,0,11,65
989892,2,1,1,1,0,1,1,0,10,67
989893,3,4,1,0,1,1,1,0,12,61
989897,3,1,1,1,0,1,1,0,13,61
989904,3,4,1,0,0,1,1,0,12,74
989906,3,1,1,0,1,0,1,0,13,33
989907,3,3,1,0,1,1,1,0,12,67
989908,4,1,1,1,0,1,1,0,9,57
989910,3,1,1,1,0,1,1,0,13,57
989912,3,4,1,0,1,0,1,0,11,63
989913,3,3,1,0,1,0,1,0,9,23
989914,3,2,1,0,1,1,1,0,12,66
989916,2,1,1,1,0,0,0,1,10,58
989920,2,2,1,0,0,0,1,0,14,76
989921,3,1,1,1,0,0,1,0,12,67
989922,4,1,1,0,0,0,1,0,14,68
989923,2,3,1,0,1,0,1,0,12,53
989925,4,1,1,1,0,0,1,0,10,47
989927,3,2,1,0,0,1,1,0,12,48
989930,3,1,1,0,0,0,1,0,9,67
989931,3,1,1,1,0,1,1,0,12,66
989932,3,4,0,0,0,1,1,0,12,59
989934,2,1,1,1,0,1,1,0,13,67
989937,3,4,0,0,1,1,1,0,9,68
989939,3,1,0,1,0,0,0,1,10,55
989940,3,1,1,0,0,0,1,0,14,69
989944,4,1,0,1,0,1,1,0,13,39
989945,1,1,1,1,0,1,1,0,7,80
989946,3,1,1,1,0,0,1,0,12,44
989951,2,3,0,0,1,0,1,0,9,56
989953,3,1,1,0,1,0,1,0,13,61
989956,3,3,0,0,0,0,1,0,9,56
989960,3,4,1,0,1,0,1,0,12,80
989964,3,1,1,1,0,1,1,0,12,56
989965,3,2,1,1,0,1,1,0,10,66
989968,3,1,0,1,0,1,1,0,12,64
989969,2,2,0,1,0,1,1,0,11,48
989973,3,1,0,0,1,1,1,0,13,44
989975,2,4,0,0,0,0,1,0,11,75
989979,3,2,1,0,1,1,1,0,12,85
989984,3,1,1,1,0,0,0,1,12,47
989990,3,2,1,0,1,0,1,0,13,63
989991,3,1,1,0,0,1,1,0,13,55
989993,3,3,1,0,1,0,1,0,12,57
989995,2,4,1,0,1,0,1,0,13,65
989996,3,4,1,0,1,0,1,0,11,66
989998,3,3,1,0,1,0,1,0,12,43
990544,4,1,1,0,0,1,1,0,12,87
990545,4,1,0,0,0,0,1,0,12,70
990550,2,3,1,0,1,0,1,0,13,70
990555,2,1,1,1,0,1,1,0,13,90
990556,3,1,0,1,0,1,0,0,10,65
990558,1,3,1,0,1,0,1,0,9,58
990559,3,4,1,0,1,0,1,0,10,79
990564,3,4,1,0,1,0,1,0,13,85
990571,3,1,1,1,0,0,1,0,11,59
990572,2,1,0,1,0,1,1,0,13,38
990583,3,3,1,0,1,0,1,0,13,72
990586,3,2,1,0,0,1,1,0,11,45
990600,2,1,1,1,0,0,1,0,15,88
990605,4,3,1,1,0,1,0,0,10,28
990608,4,2,1,0,0,0,1,0,12,80
990611,3,4,1,0,1,0,1,0,10,74
990613,3,4,1,0,0,0,1,0,10,63
990622,1,1,1,1,0,0,0,1,12,67
990625,3,1,0,1,0,1,1,0,10,66
990626,2,4,1,0,0,0,1,0,10,72
990628,1,3,1,0,1,0,1,0,14,67
990633,3,4,1,0,1,0,1,0,14,31
990640,3,3,1,0,0,0,1,0,13,35
990642,3,1,1,0,0,1,0,0,14,59
990644,3,1,1,1,0,0,0,1,11,58
990648,2,1,1,0,0,0,1,0,10,71
990649,3,3,1,0,1,1,1,0,9,69
990653,3,4,1,0,1,1,1,0,12,48
990667,3,1,1,0,0,1,1,0,12,67
990685,4,1,1,0,0,1,1,0,13,44
990687,3,3,1,0,1,0,1,0,12,41
990688,2,3,1,0,0,1,1,0,10,69
990689,1,1,1,0,0,0,1,0,13,69
990690,3,3,1,1,0,1,0,1,6,46
990696,3,1,1,1,0,1,0,1,12,45
990703,3,4,1,0,1,0,1,0,12,79
990711,2,2,1,1,0,0,1,0,9,105
990737,2,1,1,1,0,1,1,0,12,62
