ISO3,Year,Region,country,LandArea,ArablePercent,Population,PopGrowth,RuralPopulation,UrbanPopulation,BirthRatePer1K,FertilityRate,PrimarySchoolAge,LifeExpectancy,AgeDepRatioOld,CO2Emissions,GDP,GDPPerCapita,GDPPerCapGrowth,Inflation,TotalTrade,Exports,Imports,FDIIn,AgriEmployment,NetAidReceived,MobileCellSubscriptions,NaturalResourceRents,MilitaryExpenditures,GovtExpenditures,HIVDeaths,WomenBusLawIndex,PaidParentalLeave
AND,2018,Europe & Central Asia,Andorra,470,1.76595744680851,77008,0.0142852505031622,11.938,88.062,7.2,NA,6,NA,NA,5.97340536048203,2949506390.20052,38301.2984391299,1.57425431733354,NA,NA,NA,NA,NA,NA,NA,107.2825494,0,NA,NA,NA,NA,NA
ARE,2018,Middle East & North Africa,United Arab Emirates,71020,0.595606871303858,9630966,1.50393782063358,13.478,86.522,10.331,1.413,6,77.814,1.28689480839373,20.7974984025486,382069392728.146,39670.9315273407,-0.320590314360061,3.06863379251994,159.728773537434,93.0481227958133,66.6806507416209,2.45971482010468,1.46000003814697,NA,208.5048332,17.3247703336333,NA,11.8192185421443,100,30,0
AFG,2018,South Asia,Afghanistan,652860,11.7988542719726,37171922,2.38430907940751,74.505,25.495,32.487,4.473,7,64.486,4.75827277828347,0.200151071015376,20323488524.6834,546.743010078504,-1.19490038335884,0.626149149168811,NA,NA,NA,0.661572001890286,43.1300010681152,3792449951.17188,59.12084823,0.915366188790762,1.00674629248273,NA,500,38.125,0
ATG,2018,Latin America & Caribbean,Antigua and Barbuda,440,9.09090909090909,96282,0.894078681398432,75.401,24.599,15.327,1.994,5,76.885,12.7319719304573,5.50466338464095,1554626242.87881,16146.5927471262,5.93227628165489,1.20715793367003,135.064152858016,64.5248555713149,70.539297286701,12.7554180936599,NA,17590000.1525879,NA,0,NA,15.2422043103746,NA,66.25,0
ALB,2018,Europe & Central Asia,Albania,27400,22.311897810219,2866376,-0.246732042281782,39.681,60.319,11.78,1.617,6,78.458,20.0412141646094,1.93973156347946,12702457551.515,4431.53918101288,4.2763256546607,2.02805963071136,76.8081181330347,31.5719272134517,45.236190919583,7.94635135089316,37.2900009155273,344320007.324219,94.17699827,1.81806469880433,1.16126612950916,11.2865596118116,100,91.25,0
ARM,2018,Europe & Central Asia,Armenia,28470,15.6515630488233,2951741,0.235799808401976,36.851,63.149,13.987,1.755,6,74.945,16.5223584838091,1.88024626821933,11958639113.6524,4051.38496692373,4.9522308356251,2.52023382001631,92.473107021212,39.3928940286073,53.0802129926047,2.14180606651725,25.7800006866455,141619995.117188,121.259018,1.09018106273031,4.11988615256896,11.4866903221706,100,85,1
AGO,2018,Sub-Saharan Africa,Angola,1246700,3.93037619314992,30809787,3.2761445879162,34.486,65.514,40.729,5.519,6,60.782,4.34798748465237,0.88738036390839,110764470655.247,3595.10666708754,-5.16211179066241,19.6286077209765,66.3781108165459,40.8362898865574,25.5418209299885,-6.36987727292231,50.9099998474121,162660003.662109,43.13051888,27.4282203466729,1.87177586619642,10.474544743401,17000,73.125,0
ARG,2018,Latin America & Caribbean,Argentina,2736690,14.3238729998648,44494502,1.01580834908002,8.13,91.87,17.021,2.261,6,76.52,17.3386897637727,3.9872341980589,583118120294.002,13105.397163317,-3.60160975657155,NA,30.7625359549926,14.4366857499034,16.3258502050892,2.232532212602,0.100000001490116,73110000.6103516,132.0931513,2.12951508687493,0.745498854953045,15.8050971558947,1400,76.25,0
ASM,2018,East Asia & Pacific,American Samoa,200,15,55461,-0.280883888014678,12.847,87.153,NA,NA,6,NA,NA,NA,631900763.358779,11393.6056572867,2.95991055574585,NA,171.830985915493,68.2316118935837,103.599374021909,NA,NA,NA,NA,0,NA,52.2691705790297,NA,NA,NA
AUT,2018,Europe & Central Asia,Austria,82520,16.0827678138633,8840521,0.487071924768999,41.703,58.297,9.7,1.47,6,81.6926829268293,28.4878923188851,7.14663762463773,408334528417.519,46188.9665119872,2.00355252390945,1.99837981429546,107.88167678734,55.440654375526,52.4410224118143,-6.28465704339647,3.69000005722046,NA,123.5352681,0.15508780567555,0.744858294108948,19.3318630043618,NA,94.375,1
