State,Beer,Obesity,Temp
Alabama,30.6,31,62.77
Alaska,32.4,24.8,32.13
Arizona,36.4,25.5,60.31
Arkansas,27.6,30.5,60.42
California,26,24.8,59.4
Colorado,33.4,18.6,45.15
Connecticut,23.2,20.6,49.05
Delaware,35.4,27,55.27
Florida,33.8,25.2,70.73
Georgia,29.5,27.2,63.51
Hawaii,32.7,22.3,71.61
Idaho,30.4,24.5,44.39
Illinois,31.3,26.5,51.74
Indiana,28.3,29.5,51.64
Iowa,34.4,27.9,47.81
Kansas,30,28.1,54.25
Kentucky,36.8,31.5,55.59
Louisiana,37.1,33,66.39
Maine,31.2,25.8,40.97
Maryland,26.1,26.2,54.22
Massachusetts,27.8,21.4,47.86
Michigan,29.3,29.6,44.41
Minnesota,31.3,24.6,41.16
Mississippi,35.1,34.4,63.35
Missouri,33.4,30,54.45
Montana,41.5,23.2,42.74
Nebraska,36.6,27.2,49.87
Nevada,44,25.8,49.87
New Hampshire,43.4,25.7,43.8
New Jersey,24.1,23.3,52.65
New Mexico,37.8,25.1,53.44
New York,23,24.2,45.25
North Carolina,30.2,29.3,59.01
North Dakota,41.7,27.9,40.43
Ohio,33.5,28.8,50.68
Oklahoma,27,31.4,59.54
Oregon,30.6,23,48.41
Pennsylvania,29.6,27.4,48.77
Rhode Island,28,24.6,50.07
South Carolina,37,29.4,62.42
South Dakota,39,29.6,45.14
Tennessee,30.2,32.3,57.57
Texas,37.4,28.7,64.83
Utah,19.5,23.5,48.64
Vermont,31.4,22.8,42.88
Virginia,29.3,25,55.11
Washington,27.9,26.4,48.26
West Virginia,31.3,31.1,51.72
Wisconsin,38.2,28.7,43.12
Wyoming,36.4,24.6,41.98
