ISO3,Year,Region,country,iso3c,LandArea,ArablePercent,Population,PopGrowth,RuralPopulation,UrbanPopulation,BirthRatePer1K,FertilityRate,PrimarySchoolAge,LifeExpectancy,AgeDepRatioOld,CO2Emissions,GDP,GDPPerCapita,GDPPerCapGrowth,GNIPerCapita,AdjNetNatlIncome,Inflation,Unemployment,TotalTrade,Exports,Imports,FDIIn,AgriEmployment,MobileCellSubscriptions,NaturalResourceRents,MilitaryExpenditures,GovtExpenditures,PublicEdExpend,WomenBusLawIndex,PaidParentalLeave
AFG,2018,South Asia,Afghanistan,AFG,652230,11.94977232,36686784,2.885207973,74.505,25.495,36.927,5.002,7,63.081,4.551607034,0.165454682,21241130983,578.985909,-1.688576593,NA,NA,0.626149149,11.15200043,NA,NA,NA,0.648439597,43.13000107,59.90264778,0.891281199,1.006746292,NA,3.199790001,38.125,0
ALB,2018,Europe & Central Asia,Albania,ALB,27400,22.31189781,2866376,-0.246732042,39.681,60.319,10.517,1.44,6,79.184,21.81734497,1.782738948,12702457551,4431.539181,4.276325654,4427.83551,10283960047,2.028059631,12.30000019,76.80811813,31.57192721,45.23619092,7.946351351,37.29000092,94.36446759,1.868235884,1.160544785,11.28655961,3.154901266,91.25,0
DZA,2018,Middle East & North Africa,Algeria,DZA,2381741,3.151063445,41927007,1.903325428,27.371,72.629,24.074,3.023,6,76.066,8.843218841,3.948290258,1.756E+11,4188.221757,-0.707950481,4074.865473,1.49033E+11,4.269990205,10.42000008,58.06549177,25.86115082,32.20434095,0.83820748,9.880000114,112.4675177,18.48172445,5.467824356,17.25792953,5.866350174,57.5,0
ASM,2018,East Asia & Pacific,American Samoa,ASM,200,15.95,48424,-2.122935674,12.847,87.153,NA,NA,6,NA,8.952934786,NA,631900763.4,13049.33015,4.874061125,NA,NA,NA,NA,171.8309859,68.23161189,103.599374,NA,NA,NA,0,NA,NA,NA,NA,NA
AND,2018,Europe & Central Asia,Andorra,AND,470,1.765957447,75013,1.580147087,11.938,88.062,7.2,NA,6,NA,18.66126508,6.532201212,2949506390,39319.93641,-0.003870296,NA,NA,NA,NA,NA,NA,NA,NA,NA,110.1329103,0,NA,NA,3.246720076,NA,NA
AGO,2018,Sub-Saharan Africa,Angola,AGO,1246700,3.930376193,31273533,3.464456984,34.486,65.514,40.236,5.519,6,62.144,4.932187254,0.766143022,83724808772,2677.177816,-4.676621686,2436.211367,86958582013,19.63059436,7.421000004,66.37801333,40.83628983,25.5417235,-8.299051356,50.90999985,42.49094914,27.53311928,1.871775866,10.47454356,2.044699907,73.125,0
ATG,2018,Latin America & Caribbean,Antigua and Barbuda,ATG,440,9.090909091,91626,0.554872966,75.401,24.599,10.816,1.371,5,78.511,12.77173496,5.566105586,1554626243,16967.08623,6.292214738,NA,NA,1.207157934,NA,135.0641529,64.52485557,70.53929729,12.75541809,NA,NA,0,NA,15.24220431,2.644079924,66.25,0
ARG,2018,Latin America & Caribbean,Argentina,ARG,2736690,11.92417106,44494502,1.015808349,8.13,91.87,15.187,2.039,6,76.999,17.80928164,3.975771971,5.83118E+11,13105.39716,-3.601609757,12619.20357,4.93294E+11,NA,9.220000267,30.76253595,14.43668575,16.32585021,2.232532213,0.100000001,131.9371685,2.101276936,0.745498855,15.80509716,4.877739906,76.25,0
ARM,2018,Europe & Central Asia,Armenia,ARM,28470,15.65156305,2836557,-0.540251082,36.851,63.149,13.307,1.572,6,75.064,17.03128378,2.013003806,11958639114,4215.899456,5.769882149,4290.803335,10720164677,2.52023382,18.96999931,92.47310702,39.39289403,53.08021299,2.142047626,25.78000069,126.1831509,1.093298247,4.119886153,11.48669032,2.255870104,85,1
ABW,2018,Latin America & Caribbean,Aruba,ABW,180,11.11111111,105962,0.494795263,56.589,43.411,9.881,1.587,6,76.072,19.92015913,NA,3359554779,31705.27905,4.73833114,NA,NA,3.626041414,NA,148.4298674,73.79623168,74.63363573,4.244572582,NA,NA,0.001874913,NA,23.55198883,NA,NA,NA
