WUSTLID,White,Black,Asian,Education,Income,Ideology,Female,GOP,Democrat,Age2016,StealShampoo,weights
989874,1,0,0,15,16,2,1,0,1,30,1,0.71
989875,1,0,0,12,3,4,1,0,0,63,1,2.31
989876,1,0,0,10,11,4,1,0,0,59,0,2.52
989877,1,0,0,9,3,8,1,1,0,48,0,1.05
989878,1,0,0,9,5,7,0,0,0,60,1,1.43
989880,0,0,0,12,3,4,0,0,0,33,0,0.23
989881,0,0,1,12,8,2,1,0,1,63,1,1.26
989882,1,0,0,9,8,7,1,1,0,31,1,2.75
989883,1,0,0,13,13,4,0,0,0,68,1,1.77
989884,1,0,0,12,10,5,1,0,0,33,1,0.73
989886,1,0,0,11,11,5,1,1,0,61,1,1.6
989888,1,0,0,11,13,6,0,1,0,64,1,0.35
989889,1,0,0,11,7,7,0,0,0,67,1,0.34
989892,1,0,0,10,4,2,1,0,1,61,0,0.86
989893,1,0,0,12,15,6,1,1,0,56,1,1.45
989897,0,0,0,13,4,1,1,0,1,59,1,0.12
989903,0,0,0,14,3,6,0,0,0,56,0,0.15
989904,1,0,0,12,6,6,1,0,0,56,1,0.19
989905,1,0,0,10,6,3,0,0,1,46,0,0.44
989906,1,0,0,13,7,6,0,1,0,62,1,0.67
989907,1,0,0,12,4,6,1,1,0,25,1,0.17
989908,1,0,0,9,3,8,1,0,1,66,0,0.15
989910,1,0,0,13,8,2,1,0,1,37,1,0.23
989911,1,0,0,12,11,6,0,1,0,76,1,1.5
989912,1,0,0,12,11,6,0,1,0,67,0,0.27
989913,1,0,0,12,11,4,0,0,1,68,1,4.48
989914,1,0,0,12,1,4,1,1,0,53,1,0.06
989916,0,1,0,10,4,2,0,0,1,47,1,0.51
989919,0,0,0,11,4,6,0,0,0,64,0,0.41
989920,1,0,0,14,7,6,0,0,0,67,1,0.22
989921,1,0,0,12,5,3,0,0,1,65,1,0.07
989922,1,0,0,14,5,5,0,0,0,59,1,0.61
989923,1,0,0,12,5,7,0,1,0,66,0,0.11
989925,0,0,0,10,5,4,0,0,1,57,0,0.43
989927,1,0,0,12,8,3,1,0,0,55,1,0.36
989928,1,0,0,12,1,5,1,0,0,68,1,0.06
989930,1,0,0,9,3,3,0,0,0,43,1,0.33
989931,1,0,0,12,7,2,1,0,1,38,1,0.53
989934,1,0,0,13,14,1,1,0,1,68,1,0.64
989937,1,0,0,9,5,6,1,1,0,80,1,0.27
989938,0,1,0,9,3,4,0,0,1,55,0,1.63
989939,0,1,0,10,3,3,0,0,1,66,0,1.41
989940,1,0,0,13,8,5,0,0,0,54,1,0.15
989944,1,0,0,13,10,3,1,0,1,64,1,2.61
989946,0,0,0,12,11,3,0,0,1,41,1,3.1
989947,1,0,0,12,9,2,1,0,0,37,1,0.45
989951,1,0,0,12,5,3,1,1,0,43,0,0.35
989953,1,0,0,13,13,5,0,1,0,52,1,0.59
989954,1,0,0,9,5,6,1,0,0,84,1,0.96
989956,1,0,0,9,4,4,0,1,0,51,0,0.11
989960,1,0,0,12,6,6,0,1,0,63,1,0.14
989964,1,0,0,10,13,2,1,0,0,39,1,1.43
989965,1,0,0,10,4,4,1,0,1,64,1,0.1
989966,1,0,0,11,3,1,1,0,1,66,1,0.15
989968,1,0,0,12,11,1,1,0,1,42,1,0.69
989969,1,0,0,11,3,4,1,0,1,55,1,0.23
989970,1,0,0,13,5,6,0,1,0,56,1,0.43
989972,0,0,1,13,8,5,1,0,1,72,1,0.5
989973,1,0,0,13,6,4,1,0,1,30,1,1.14
989975,1,0,0,14,8,4,1,0,1,76,1,0.32
989976,1,0,0,15,6,2,1,0,1,81,1,0.06
989979,1,0,0,14,5,5,1,0,0,69,0,0.09
989982,1,0,0,8,2,4,1,0,0,36,0,2.18
989983,1,0,0,11,3,4,1,1,0,90,1,0.09
989984,0,1,0,12,7,6,0,0,1,64,1,1.19
989990,1,0,0,13,11,5,0,1,0,64,0,0.56
989993,1,0,0,12,5,5,0,1,0,58,0,0.11
989994,0,1,0,12,8,3,1,0,1,78,1,1.15
989995,1,0,0,13,13,6,0,1,0,24,1,0.29
989996,1,0,0,11,5,7,0,1,0,84,1,0.13
989998,1,0,0,12,13,6,0,1,0,32,1,1.32
990000,1,0,0,12,6,3,1,0,0,59,1,0.24
990003,0,1,0,10,6,2,1,0,1,57,1,2.21
990004,1,0,0,12,12,2,0,0,1,71,0,0.45
990542,1,0,0,9,5,8,1,0,1,28,1,6.72
990543,1,0,0,9,3,4,1,0,1,79,1,0.19
990544,1,0,0,12,10,5,1,0,0,45,1,0.18
990545,1,0,0,12,5,3,0,0,0,74,1,0.3
990550,1,0,0,13,13,6,0,1,0,37,1,0.27
990553,1,0,0,6,2,6,0,0,0,50,1,1.1
990555,1,0,0,13,6,1,1,0,0,67,1,0.19
990556,0,0,1,10,7,4,1,0,1,49,1,0.26
990557,1,0,0,9,2,6,1,1,0,65,1,0.42
990558,1,0,0,9,1,6,0,1,0,72,0,1.2
990559,1,0,0,10,3,7,0,0,0,67,0,0.16
990560,1,0,0,9,4,8,1,0,0,31,0,6.06
990564,1,0,0,13,14,7,0,1,0,34,0,0.24
990570,1,0,0,12,14,6,0,1,0,61,1,0.95
990571,1,0,0,11,5,2,0,0,1,59,1,0.27
990572,0,0,0,13,9,3,1,0,1,57,1,1.9
990578,1,0,0,9,5,6,1,1,0,64,1,6.28
990583,1,0,0,13,15,6,0,1,0,58,1,0.54
990586,1,0,0,11,9,8,1,0,0,48,1,1.32
990587,1,0,0,10,3,4,1,0,0,71,1,0.76
990600,1,0,0,15,11,1,0,0,1,42,1,0.54
990605,0,0,0,10,2,8,1,0,1,66,1,1.23
990608,1,0,0,12,11,4,0,0,0,40,1,0.45
990609,1,0,0,10,4,6,1,1,0,39,1,0.56
990611,1,0,0,10,2,6,0,1,0,64,1,0.07
990613,1,0,0,10,11,6,0,1,0,40,1,2.78
990618,0,1,0,7,1,8,1,0,0,68,0,4.63
990620,1,0,0,12,10,6,1,0,0,69,1,1.45
990622,0,1,0,10,3,2,0,0,1,45,0,4.13
990623,1,0,0,10,5,3,1,0,0,44,1,2.55
990625,1,0,0,9,4,2,1,0,1,65,1,0.19
990626,1,0,0,10,5,6,0,0,0,78,1,0.56
990628,1,0,0,13,12,5,0,1,0,37,0,0.92
990633,1,0,0,14,10,6,0,1,0,78,1,0.94
990640,1,0,0,13,9,5,0,0,0,76,1,2.54
990641,1,0,0,13,1,2,1,0,0,51,1,0.15
990642,0,0,1,14,13,2,1,0,0,73,1,1.56
990644,0,1,0,11,12,3,0,0,1,36,1,2.29
990648,1,0,0,10,2,1,0,0,0,54,1,0.17
990649,1,0,0,10,9,6,1,1,0,59,0,0.32
990651,1,0,0,10,2,3,1,0,1,84,1,0.06
990653,1,0,0,12,11,5,1,0,0,80,1,0.8
990658,1,0,0,10,4,5,0,0,0,37,1,0.52
990664,0,0,0,12,6,8,1,0,0,63,0,0.7
990665,1,0,0,10,8,5,1,1,0,75,1,1.74
990666,0,1,0,9,11,8,1,0,1,62,1,7.38
990667,1,0,0,12,11,2,1,0,0,34,1,1.62
990670,0,1,0,13,9,4,1,0,1,39,1,0.51
990673,0,0,1,13,6,8,1,1,0,67,1,0.19
990684,1,0,0,10,6,6,0,1,0,56,1,0.24
990685,1,0,0,13,9,4,1,0,0,52,1,0.55
990687,1,0,0,12,11,5,0,1,0,67,1,2.69
990688,0,0,0,10,3,6,1,0,0,46,0,0.11
990689,1,0,0,13,8,1,0,0,1,69,0,0.27
990690,0,1,0,9,1,1,1,0,1,76,0,7.38
990696,0,1,0,12,6,3,1,0,1,61,1,0.74
990700,1,0,0,11,11,3,0,0,0,95,1,0.99
990703,1,0,0,12,6,6,0,1,0,48,1,0.13
990705,1,0,0,12,10,5,1,1,0,59,0,0.13
