"ISO3","Year","Region","country","iso3c","Population","UrbanPopulation","BirthRatePer1K","FertilityRate","PrimarySchoolAge","TotalTrade","FDIIn","PublicEdExpend","PublicHealthExpend","WomenBusLawIndex","MilitaryExpenditures","CO2Emissions"
"AFG",2019,"South Asia","Afghanistan","AFG",37856121,25.754,36.466,4.87,7,NA,0.124495985291258,NA,0.49705607,38.125,1.17096838242129,0.196742291689104
"ALB",2019,"Europe & Central Asia","Albania","ALB",2854191,61.229,10.343,1.414,6,75.3821602848745,7.70621785587149,3.91623997688293,2.92877913,91.25,1.28080596201472,1.73653410020563
"DZA",2019,"Middle East & North Africa","Algeria","DZA",43294546,73.189,23.298,2.988,6,46.5068426081672,0.713947308015691,5.57536554336548,3.68985248,57.5,5.99969025937654,4.07061665457815
"ASM",2019,"East Asia & Pacific","American Samoa","ASM",50209,87.147,NA,NA,6,156.568778979907,NA,NA,NA,NA,NA,0.00199167479933876
"AND",2019,"Europe & Central Asia","Andorra","AND",76474,87.984,7,NA,6,NA,NA,3.15060997009277,5.22278023,NA,NA,NA
"AGO",2019,"Sub-Saharan Africa","Angola","AGO",32375632,66.177,39.725,5.442,6,57.8295381183036,-5.78081314286635,2.07306432723999,1.12356877,73.125,1.73907015919852,0.78227353214294
"ATG",2019,"Latin America & Caribbean","Antigua and Barbuda","ATG",91364,24.506,11.485,1.468,5,137.625175755884,7.7612308574784,2.30307745933533,2.55713224,66.25,NA,3.56486143338733
"ARG",2019,"Latin America & Caribbean","Argentina","ARG",44973465,91.991,14.783,1.994,6,32.6306150458499,1.48500687570697,4.7716498374939,6.08225393,76.25,0.699696134379197,3.94773229058513
"ARM",2019,"Europe & Central Asia","Armenia","ARM",2962500,63.219,12.892,1.575,6,96.1141541288708,0.736361516844353,2.57191228866577,1.41,85,4.78770584078564,2.08675105485232
"ABW",2019,"Latin America & Caribbean","Aruba","ABW",109203,43.546,9.138,1.486,6,145.343572735289,-2.21528256776249,4.43504333496094,NA,NA,NA,4.88814409860535
"AUS",2019,"East Asia & Pacific","Australia","AUS",25334826,86.124,12.1,1.657,5,46.1875018936291,2.78196787472132,5.50858879089355,7.53585672,96.875,1.88104345418486,16.3048406174173
"AUT",2019,"Europe & Central Asia","Austria","AUT",8879920,58.515,9.6,1.46,6,108.207284904426,-2.85255617561831,5.21779012680054,7.85,94.375,0.75035965749035,7.72037360696943
"AZE",2019,"Europe & Central Asia","Azerbaijan","AZE",10024283,56.031,14.1,1.81,6,85.8181454084561,3.12183056112494,3.1764600276947,1.07,78.75,3.87341170306515,3.64070926569012
"BHS",2019,"Latin America & Caribbean","Bahamas, The","BHS",394675,83.132,11.487,1.398,5,72.547364054025,3.70483940313609,2.6171863079071,3.01476622,81.25,NA,4.29644644327611
"BHR",2019,"Middle East & North Africa","Bahrain","BHR",1483756,89.394,13.198,1.857,6,135.417543398211,2.32837980010521,2.38460445404053,2.30751538,46.25,4.02986101554975,24.8197816891726
"BGD",2019,"South Asia","Bangladesh","BGD",164913055,37.405,18.35,2.031,6,31.5780544912404,0.543244141585066,1.68138802051544,0.44679779,49.375,1.24410082330294,0.649800587345859
"BRB",2019,"Latin America & Caribbean","Barbados","BRB",281207,31.158,10.885,1.623,5,NA,0.480777908770262,4.0863299369812,2.78261447,76.875,NA,2.74424178629977
"BLR",2019,"Europe & Central Asia","Belarus","BLR",9419758,79.044,9.3,1.382,6,130.850132114123,1.97686317571178,4.97948980331421,4.13,75.625,1.20086453042742,6.50765125813211
"BEL",2019,"Europe & Central Asia","Belgium","BEL",11488980,98.041,10.2,1.6,6,165.46547893199,-1.97252997818916,6.33397006988525,8.12080002,100,0.888487292252087,8.70842320205971
"BLZ",2019,"Latin America & Caribbean","Belize","BLZ",385829,45.866,18.886,2.106,5,102.122848888331,3.93209570419852,5.96499013900757,3.29100513,79.375,1.01069424875085,0.665320647229731
"BEN",2019,"Sub-Saharan Africa","Benin","BEN",12726755,47.861,37.675,5.13,6,63.68133231423,1.51620780935646,2.96520113945007,0.31146821,74.375,0.473313905552082,0.635975156275107
