"ID","SexistRemarks","GainPower","HarrisTherm","TrumpTherm","RFemale","RAge","RConservative"
200078,1,1,95,0,1,40,3
200096,1,1,85,0,1,29,2
200340,3,3,10,8,1,35,1
200363,3,1,85,15,1,80,4
200380,3,1,85,0,0,62,3
200391,4,2,90,0,1,32,2
200469,1,1,80,0,0,30,2
200481,1,1,60,0,1,22,1
200577,1,1,100,0,0,58,1
200632,2,3,15,70,0,44,4
200638,2,2,95,10,1,57,5
200702,1,1,90,0,1,46,2
200715,4,3,80,0,1,61,3
200721,3,3,85,50,0,57,2
200772,3,2,60,40,0,30,4
200854,2,2,75,14,0,35,2
200860,1,1,15,15,1,32,2
200922,1,1,60,10,1,42,4
200952,3,3,40,70,0,34,3
201019,3,2,85,0,1,39,3
201030,4,3,65,0,0,38,2
201048,3,1,70,0,0,54,4
201089,4,3,0,85,1,67,6
201127,2,1,90,0,0,32,2
201163,1,1,85,0,1,36,2
201169,3,1,100,0,1,62,2
201186,2,1,80,0,1,45,3
201192,2,2,85,0,0,60,2
201216,3,3,15,90,1,80,6
201276,1,1,100,0,0,80,2
201300,1,1,85,0,0,54,1
201305,4,3,90,0,0,80,2
201364,3,3,70,0,0,74,2
201457,2,1,100,0,0,67,4
201529,1,1,70,0,1,45,3
201560,1,3,0,100,0,61,6
201576,2,1,60,0,1,31,1
201583,3,3,70,70,0,72,1
201715,4,1,40,0,0,47,3
201745,1,1,70,0,1,27,1
201763,3,3,15,15,0,65,6
201771,3,3,80,70,0,51,7
201788,1,1,0,100,1,70,1
201830,2,1,85,0,1,45,3
201871,4,1,85,0,0,46,2
201912,2,1,70,0,1,36,2
201935,2,1,40,50,1,29,4
201947,1,1,85,30,0,32,4
201964,4,3,40,60,0,48,4
201982,3,3,0,100,1,34,7
202039,2,5,70,0,0,58,4
202045,1,1,100,0,1,36,2
202057,5,3,0,80,1,47,5
202068,3,3,0,85,0,80,6
202098,5,5,0,100,0,55,6
202104,3,4,10,95,0,80,6
202111,2,2,100,0,0,44,4
202117,3,3,15,70,1,56,6
202199,1,1,85,0,1,26,2
202278,2,3,85,0,1,38,2
202284,1,1,70,0,1,22,2
202290,1,1,60,0,0,34,2
202320,1,1,100,0,1,48,2
202361,2,1,60,0,1,21,1
202379,2,1,100,0,0,71,4
202391,4,2,85,0,1,30,2
202480,3,3,0,50,0,79,6
202498,3,2,30,85,0,39,4
202530,3,2,90,0,0,54,2
202536,4,1,100,60,1,45,1
202542,1,1,100,0,0,66,3
202572,2,4,0,70,1,30,5
202589,3,3,67,36,0,38,3
202595,5,5,50,58,1,61,1
202601,5,3,0,90,0,30,4
202619,3,3,75,0,0,47,3
202630,4,1,85,0,0,71,3
202648,5,5,0,100,0,69,6
202671,1,3,0,100,1,80,6
202689,3,3,0,85,0,71,6
202721,3,2,50,50,1,26,6
202732,3,3,15,95,1,30,4
202791,4,3,70,0,1,31,2
202818,3,3,85,0,0,77,2
202835,3,5,60,100,1,51,2
202861,1,1,85,0,0,58,4
202873,2,2,70,0,0,35,2
202879,4,1,60,30,1,45,2
202903,2,1,70,0,1,34,4
202951,2,3,55,0,0,63,4
203035,4,2,70,0,1,56,3
203053,2,2,60,40,1,71,4
203103,3,1,60,15,1,61,6
203145,1,1,30,15,0,42,2
203177,3,3,0,85,1,30,3
203189,4,1,0,100,1,38,1
203201,3,3,70,0,1,49,2
203207,2,1,70,30,1,45,4
203219,1,1,90,0,1,33,1
203225,1,1,85,0,1,33,2
203248,3,1,85,0,0,63,4
203254,3,3,60,40,0,55,4
203290,4,1,100,0,0,60,4
203307,4,3,65,60,0,39,5
203325,4,3,85,0,0,80,6
203331,4,2,65,5,0,25,2
203349,2,1,30,40,1,75,5
203372,3,3,0,80,1,59,6
203384,3,1,90,0,0,78,2
203408,4,1,15,60,1,78,4
203414,3,1,100,0,1,74,2
203462,1,3,0,70,1,54,6
203489,5,1,100,0,0,62,2
203494,3,3,15,100,0,26,4
203512,4,4,30,30,1,49,4
203698,3,3,85,0,1,54,7
203758,3,3,50,50,1,68,4
203764,4,4,0,75,0,28,6
203770,2,2,70,0,0,40,3
203800,4,3,85,0,0,45,4
203818,1,2,15,50,1,65,5
203862,3,2,75,15,1,69,2
203886,3,1,85,0,1,45,2
203892,1,1,85,0,0,34,2
203904,1,1,85,0,1,18,1
203916,4,2,60,40,1,70,4
