WUSTLID,White,Black,Asian,Education,Income,Ideology,Female,GOP,Democrat,Age2016,weights,BedSize
989874,1,0,0,15,16,2,1,0,1,60,0.71,3
989875,1,0,0,12,3,4,1,0,0,29,2.31,3
989876,1,0,0,10,11,4,1,0,0,63,2.52,4
989877,1,0,0,9,3,8,1,1,0,59,1.05,3
989878,1,0,0,9,5,7,0,0,0,49,1.43,2
989880,0,0,0,12,3,4,0,0,0,59,0.23,4
989881,0,0,1,12,8,2,1,0,1,34,1.26,4
989882,1,0,0,9,8,7,1,1,0,63,2.75,1
989883,1,0,0,13,13,4,0,0,0,31,1.77,4
989884,1,0,0,12,10,5,1,0,0,68,0.73,3
989886,1,0,0,11,11,5,1,1,0,33,1.6,4
989888,1,0,0,11,13,6,0,1,0,60,0.35,3
989889,1,0,0,11,7,7,0,0,0,65,0.34,2
989892,1,0,0,10,4,2,1,0,1,67,0.86,4
989893,1,0,0,12,15,6,1,1,0,60,1.45,4
989897,0,0,0,13,4,1,1,0,1,60,0.12,3
989904,1,0,0,12,6,6,1,0,0,73,0.19,3
989905,1,0,0,10,6,3,0,0,1,59,0.44,3
989906,1,0,0,13,7,6,0,1,0,32,0.67,3
989907,1,0,0,12,4,6,1,1,0,67,0.17,3
989908,1,0,0,9,3,8,1,0,1,57,0.15,2
989910,1,0,0,13,8,2,1,0,1,57,0.23,3
989911,1,0,0,12,11,6,0,1,0,47,1.5,4
989912,1,0,0,12,11,6,0,1,0,63,0.27,4
989913,1,0,0,12,11,4,0,0,1,25,4.48,4
989914,1,0,0,12,1,4,1,1,0,66,0.06,4
989916,0,1,0,10,4,2,0,0,1,87,0.51,4
989920,1,0,0,14,7,6,0,0,0,76,0.22,3
989921,1,0,0,12,5,3,0,0,1,66,0.07,3
989922,1,0,0,14,5,5,0,0,0,68,0.61,4
989923,1,0,0,12,5,7,0,1,0,52,0.11,3
989925,0,0,0,10,5,4,0,0,1,47,0.43,3
989927,1,0,0,12,8,3,1,0,0,48,0.36,3
989928,1,0,0,12,1,5,1,0,0,64,0.06,2
989930,1,0,0,9,3,3,0,0,0,66,0.33,4
989931,1,0,0,12,7,2,1,0,1,65,0.53,2
