country,iso3c,CO2Emissions,PopDensity,MilitaryExpenditures,GDPPerCapita,RuleOfLawIndex,FemalePopPct,FertilityRate,FemalePctLegis
Afghanistan,AFG,0.165454682,56.24823145,1.006746292,578.985909,-1.681357741,49.43720878,5.002,NA
Albania,ALB,1.782738948,104.6122628,1.160544785,4431.539181,-0.395619303,49.90606577,1.44,27.85714286
Algeria,DZA,3.948290258,17.6035123,5.467824356,4188.221757,-0.793038607,49.04810878,3.023,25.75757576
American Samoa,ASM,NA,242.12,NA,13049.33015,1.355713964,50.16107715,NA,NA
Andorra,AND,6.532201212,159.6021277,NA,39319.93641,1.598811984,49.24879688,NA,32.14285714
Angola,AGO,0.766143022,25.08505093,1.871775866,2677.177816,-0.986207545,50.61161462,5.519,30.45454545
Anguilla,AIA,NA,NA,NA,NA,-0.102874614,NA,NA,NA
Antigua and Barbuda,ATG,5.566105586,208.2409091,NA,16967.08623,0.409626514,52.28865169,1.371,11.11111111
Argentina,ARG,3.975771971,16.2585101,0.745498855,13105.39716,-0.20049113,50.49497681,2.039,38.91050584
Armenia,ARM,2.013003806,99.63319283,4.119886153,4215.899456,-0.178264081,54.69881268,1.572,18.0952381
Aruba,ABW,NA,588.6777778,NA,31705.27905,1.289509773,52.78779185,1.587,NA
Australia,AUS,15.50348628,3.245784982,1.890112081,58481.03442,1.70605433,50.39821083,1.74,28.66666667
Austria,AUT,7.133063919,107.1318589,0.744738359,46154.6251,1.886325002,50.81956217,1.47,34.42622951
Azerbaijan,AZE,3.292832354,120.2575919,3.562401234,5262.183808,-0.603016794,50.6684152,1.73,16.8
"Bahamas, The",BHS,6.966803064,40.15044955,NA,30705.60197,0.09226083,52.06441307,1.412,12.82051282
Bahrain,BHR,20.71483283,1906.846154,4.07429483,23023.11978,0.40709877,37.33820108,1.93,15
Bangladesh,BGD,0.509823919,1257.462995,1.263999785,1460.305017,-0.633198857,50.32221484,2.04,20.28571429
Barbados,BRB,4.433511661,650.4372093,NA,17220.931,0.389348745,52.11235377,1.619,20
Belarus,BLR,6.245507315,46.50105922,1.182261729,6165.90933,-0.87663579,53.7899458,1.448,34.54545455
Belgium,BEL,8.196338589,377.3795905,0.89139955,42382.31828,1.368350506,50.71003909,1.62,38
Belize,BLZ,1.648929754,16.74993424,1.247387935,5756.852249,-0.826132238,49.65293954,2.345,9.375
Benin,BEN,0.621404996,105.8946701,0.63285754,1111.22724,-0.676403463,49.963214,5.199,7.228915663
Bermuda,BMU,NA,1183.666667,NA,106697.7375,0.869517803,51.53922386,1.3,NA
Bhutan,BTN,1.377779115,19.98154169,NA,3065.85565,0.57250911,46.9057704,1.569,14.89361702
Bolivia,BOL,2.00139482,10.71439583,1.496902342,3219.200886,-1.19971323,49.74784406,2.73,53.07692308
Bosnia and Herzegovina,BIH,6.646806748,66.40876953,0.852548557,5263.848266,-0.205262765,50.87724613,1.384,21.42857143
Botswana,BWA,2.981958516,4.32553244,2.676088923,6418.571887,0.408063143,50.69451895,2.903,9.523809524
Brazil,BRA,2.064980862,25.14513899,1.469677724,8553.876187,-0.283916891,50.82260838,1.749,15.00974659
British Virgin Islands,VGB,NA,202.2333333,NA,NA,NA,51.60046151,0.917,NA
Brunei Darussalam,BRN,17.36231034,82.40493359,2.636612485,29438.1007,0.623039246,48.18547737,1.848,9.090909091
Bulgaria,BGR,5.82203361,64.71109985,1.451568367,7859.692156,-0.085420907,51.5093016,1.56,23.75
Burkina Faso,BFA,0.229003261,74.53480629,2.165041746,696.0445685,-0.441425383,50.222523,5.069,11.02362205
Burundi,BDI,0.060034078,447.565109,1.882161447,274.1319142,-1.502976179,50.37521299,5.38,36.36363636
Cabo Verde,CPV,1.067923457,141.737469,0.542008419,3172.960459,0.414056629,50.26523016,1.964,23.61111111
Cambodia,KHM,0.909814876,90.78426241,2.224852375,1384.968023,-1.120387316,50.50932161,2.435,20
Cameroon,CMR,0.382426004,53.04890313,1.11159531,1445.267766,-1.08912921,50.14810334,4.694,31.11111111
Canada,CAN,15.65057904,4.134148896,1.324681094,44917.48373,1.747118831,50.3426384,1.5,26.94610778
Cayman Islands,CYM,NA,270.35,NA,80600.61075,0.767832339,49.71641699,NA,NA
Central African Republic,CAF,0.045144246,8.178079553,1.43304054,378.2630765,-1.706681371,49.96337428,6.037,8.571428571
Chad,TCD,0.140346743,12.39216169,2.339468546,653.3497593,-1.320605278,49.80906435,6.464,15.25423729
Chile,CHL,4.631191732,25.15217906,1.86392777,13906.77022,0.966234028,50.3712279,1.564,22.58064516
China,CHN,7.487331894,148.838644,1.739533683,9619.192484,-0.16705063,48.86573458,1.554,24.89932886
Colombia,COL,1.594862888,44.41366471,3.062105511,6320.762084,-0.365047276,50.62387472,1.787,18.12865497
Comoros,COM,0.386442082,417.1483074,NA,1383.377789,-1.132864952,49.82745362,4.196,6.060606061
"Congo, Dem. Rep.",COD,0.035826095,38.41439536,0.623912515,489.382354,-1.79496181,50.39802851,6.302,8.943089431
"Congo, Rep.",COG,1.192781808,15.93283163,2.50811728,1774.613901,-1.121906281,50.07246747,4.367,11.25827815
Cook Islands,,NA,NA,NA,NA,NA,NA,NA,NA
Costa Rica,CRI,1.66047244,98.7217783,NA,12470.95672,0.49064362,49.89872507,1.709,45.61403509
Cote d'Ivoire,CIV,0.399702062,80.16977358,1.413435448,2210.325815,-0.587801456,49.42591563,4.611,10.58823529
Croatia,HRV,4.019234669,73.04415338,1.552490005,13531.2435,0.324368089,51.44477146,1.47,18.54304636
Cuba,CUB,2.357823427,109.1352987,2.876207372,8048.01661,-0.447581321,50.23800688,1.631,53.2231405
Curacao,CUW,NA,358.8648649,NA,18198.66427,NA,52.4285142,1.7,NA
Cyprus,CYP,5.907299543,131.9081169,1.780485709,27241.00781,0.746907651,49.90363717,1.32,17.85714286
Czech Republic,CZE,NA,NA,NA,NA,1.047601342,NA,NA,NA
Czechia,CZE,9.492068199,137.6755343,1.088670001,19689.5827,NA,50.77626634,1.71,22
Denmark,DNK,5.718343553,144.8409,1.277539272,56563.48847,1.805854559,50.29514352,1.73,37.4301676
Djibouti,DJI,0.378358648,45.60819672,NA,2714.351648,-0.937937498,50.30032217,2.929,26.15384615
Dominica,DMA,2.400350194,94.43066667,NA,7586.646141,0.735744357,49.94140322,NA,25
Dominican Republic,DOM,2.35102193,222.8427034,0.69399111,7894.955017,-0.347878307,49.6820547,2.381,26.84210526
Ecuador,ECU,2.359001713,68.51212756,2.351887153,5976.245345,-0.647669554,49.98933336,2.133,37.95620438
"Egypt, Arab Rep.",EGY,2.389706724,104.214943,1.249966196,3634.834269,-0.28419888,49.40199448,3.098,14.93288591
El Salvador,SLV,1.085026906,302.9122587,1.128021932,4009.716555,-0.915009916,52.32449092,1.849,30.95238095
Equatorial Guinea,GNQ,4.280699257,53.55048128,1.072141334,7079.650502,-1.414509535,47.11991484,4.513,20
Eritrea,ERI,0.246707621,28.45588908,NA,NA,-1.613605857,50.71762891,4.056,22
Estonia,EST,11.58870366,30.9234386,2.008665863,19611.61099,1.232719183,52.84937844,1.67,26.73267327
Eswatini,SWZ,0.784193441,67.46674419,2.03576227,3695.949942,-0.25770089,50.51782618,2.962,7.246376812
Ethiopia,ETH,0.15513441,98.46999476,0.645190438,744.3675944,-0.428049445,49.71361594,4.343,38.75685558
Faroe Islands,FRO,NA,36.50071633,NA,NA,NA,48.27004219,2.5,NA
Fiji,FJI,1.773674744,50.30082102,1.467606861,5708.99262,0.214772075,49.69782241,2.53,19.60784314
Finland,FIN,8.082639791,18.14795012,1.362212408,45627.91989,2.069103479,50.66231091,1.41,42
France,FRA,4.572030089,122.6508802,1.843008723,38259.69777,1.425901532,51.64009171,1.87,39.58333333
French Guiana,,NA,NA,NA,NA,1.202559948,NA,NA,NA
French Polynesia,PYF,NA,85.74070873,NA,19419.53837,NA,49.27488021,1.789,NA
Gabon,GAB,2.335753584,8.507051655,1.548722767,6786.890327,-0.704611123,48.9433452,3.679,NA
"Gambia, The",GMB,0.224956609,241.5924901,0.702928018,645.9383087,-0.438705802,50.30033752,4.972,10.34482759
Georgia,GEO,2.568059536,65.19733021,1.897113157,4539.087522,0.293164283,52.91521807,2.114,16
Germany,DEU,8.536196091,237.2940123,1.167832867,42928.74124,1.622488379,50.66772022,1.57,30.74753173
Ghana,GHA,0.605105683,135.671271,0.419660326,1899.829903,0.06999515,50.12080248,3.731,12.72727273
Gibraltar,GIB,NA,3264.8,NA,NA,NA,50.08270032,1.879,NA
Greece,GRC,6.0580184,83.26518231,2.716453073,18647.49572,0.13433288,50.97935527,1.35,18.66666667
Greenland,GRL,NA,0.136491656,NA,47013.03495,1.729128838,47.23498596,2,NA
Grenada,GRD,2.626438327,358.3470588,NA,9252.676059,0.280941129,49.8596497,2.063,46.66666667
Guam,GUM,NA,312.3666667,NA,34472.9594,1.355713964,49.49785983,2.671,NA
Guatemala,GTM,1.120698338,152.5471258,0.390612897,4163.484461,-1.061653733,50.47142534,2.743,12.65822785
Guinea,GIN,0.298689018,51.09418851,1.636814205,910.652647,-1.218129873,50.73902832,4.669,21.92982456
Guinea-Bissau,GNB,0.166237649,68.45501422,1.485369528,620.7710283,-1.24779892,50.71095168,4.263,13.7254902
Guyana,GUY,3.297204014,3.990419101,1.593320009,6127.705381,-0.364798248,50.85510888,2.462,31.88405797
Haiti,HTI,0.298753559,399.5798621,0.150080164,1429.231353,-1.046175599,50.38567814,2.959,2.542372881
Honduras,HND,1.026258974,87.52211994,1.607694472,2423.273299,-1.043893218,49.46485446,2.46,21.09375
"Hong Kong SAR, China",HKG,NA,7097.714286,NA,45280.21137,1.7620157,53.80128864,1.072,NA
Hungary,HUN,4.746529359,107.1177296,1.116641387,14377.42196,0.578445971,52.19060104,1.55,12.56281407
Iceland,ISL,4.819673475,3.498175146,NA,57697.59828,1.710496902,48.90861492,1.71,38.0952381
India,IND,1.791032878,460.4493174,2.433922067,1891.137944,0.020165063,48.34568866,2.177,11.80811808
Indonesia,IDN,2.160470329,142.2445488,0.718949727,3741.305277,-0.294692069,49.6243418,2.234,19.82142857
"Iran, Islamic Rep.",IRN,7.445084604,52.76891341,2.456250505,5211.111643,-0.696153164,49.38660715,1.968,5.882352941
Iraq,IRQ,4.019393455,93.49938267,2.851599465,4710.976282,-1.791687012,50.01497634,3.659,25.22796353
Ireland,IRL,7.737323783,70.65344753,0.286862382,72339.42185,1.441850185,50.47451581,1.75,22.15189873
Isle of Man,IMN,NA,146.9736842,NA,96792.42414,NA,50.4529991,1.621,NA
Israel,ISR,6.87621041,410.4805915,5.325955768,38744.16044,0.986686707,50.21884393,3.09,27.5
Italy,ITA,5.37687093,204.3222259,1.359290935,31593.48026,0.26352194,51.3272189,1.29,35.71428571
Jamaica,JAM,3.062057218,259.6338873,1.349094107,5264.196092,-0.197781533,50.35220772,1.388,17.46031746
Japan,JPN,8.801681435,347.9039781,0.963259651,36117.22769,1.525385499,51.36827068,1.42,10.10752688
"Jersey, Channel Islands",,NA,NA,NA,NA,1.729128838,NA,NA,NA
Jordan,JOR,2.369055498,117.8178081,4.635771938,3929.687142,0.253932208,48.03401382,2.973,15.38461538
Kazakhstan,KAZ,11.8513159,6.769808497,0.835625807,11053.36206,-0.485649407,52.02556098,2.84,27.10280374
Kenya,KEN,0.350126986,87.76980005,1.266408803,1604.802164,-0.409445375,50.38409872,3.58,21.7765043
Kiribati,KIR,0.736130112,150.9395062,NA,1455.727166,0.613248527,51.38187975,3.41,6.52173913
"Korea, Dem. People's Rep.",PRK,1.970891065,212.9237522,NA,NA,-1.634487629,50.71813882,1.845,16.30276565
"Korea, Rep.",KOR,12.22524582,528.9690115,2.496843576,31053.63793,1.228653908,49.98156236,0.977,17
Kuwait,KWT,21.16888653,242.2662738,5.099953149,26660.37973,0.20569998,38.48213593,2.165,3.076923077
Kyrgyz Republic,KGZ,1.779275005,32.96558916,1.571122175,1197.610724,-0.916139066,50.91077456,3.3,19.16666667
Lao PDR,LAO,2.724839446,30.78425477,NA,2467.955762,-0.850723505,49.57690395,2.619,27.51677852
Latvia,LVA,4.042188179,30.97006123,2.062277415,15558.69178,0.949865222,53.93365468,1.6,31
Lebanon,LBN,4.66992989,581.7046921,4.952761494,8441.194975,-0.766756296,51.07131952,2.148,4.6875
Lesotho,LSO,0.332117549,72.39845191,1.788602874,1078.157898,-0.349721283,50.68700561,3.139,22.13114754
Liberia,LBR,0.231112626,50.76194975,0.938216027,673.411392,-0.984665096,50.28861468,4.336,12.32876712
Libya,LBY,8.740631096,3.681526422,NA,10595.32246,-1.680119991,49.29870405,2.581,15.95744681
Liechtenstein,LIE,3.666745255,238.63125,NA,NA,1.668915749,50.33917393,1.58,12
Lithuania,LTU,4.158422562,44.73164618,1.967419142,16443.58529,0.950238943,53.36626186,1.63,21.27659574
Luxembourg,LUX,15.33020757,236.1466094,0.529797026,106376.7836,1.801395774,49.72405591,1.38,20
"Macao SAR, China",MAC,NA,19786.96049,NA,80477.27829,1.002500415,52.84036185,1.104,NA
Madagascar,MDG,0.124783297,46.14393434,0.605686111,470.4239036,-0.820710719,49.85376701,4.043,19.20529801
Malawi,MWI,0.07513114,194.8226877,0.847025846,386.0601122,-0.389954031,51.42240399,4.14,16.66666667
Malaysia,MYS,7.543688365,98.61290823,0.96066525,10777.74825,0.553363502,48.77254183,1.881,13.90134529
Maldives,MDV,4.287831755,1632.526667,NA,10342.91014,-0.538106263,42.2235063,1.784,5.882352941
Mali,MLI,0.274401426,16.33704423,2.806944707,767.5715929,-0.799025118,49.49169015,6.183,8.843537415
Malta,MLT,3.198316143,1514.46875,0.436480245,27864.20115,1.046584249,48.70724553,1.23,11.94029851
Marshall Islands,MHL,3.913979585,255.4944444,NA,4373.876362,0.016908167,48.83776555,NA,9.090909091
Martinique,,NA,NA,NA,NA,0.869517803,NA,NA,NA
Mauritania,MRT,0.86402456,4.143506355,2.112482087,1628.0372,-0.692997277,51.09475891,4.607,20.26143791
Mauritius,MUS,3.264040403,623.3019704,0.162491818,10654.79047,0.735955834,50.55987389,1.41,11.5942029
Mexico,MEX,3.649350191,63.79477919,0.477494205,10120.36354,-0.626365125,51.06582239,1.996,48.2
"Micronesia, Fed. Sts.",FSM,1.532511803,158.47,NA,2962.238581,0.066270761,49.63805678,2.84,0
Moldova,MDA,3.154547318,94.25439467,0.32637511,3261.74934,-0.418074727,52.44836062,1.809,22.77227723
Monaco,MCO,NA,18267.88357,NA,178867.5367,NA,51.0059683,NA,33.33333333
Mongolia,MNG,6.811017869,2.031774501,0.730921186,4242.300151,-0.259232908,50.30538962,2.923,17.10526316
Montenegro,MNE,4.017826292,46.26223048,1.369294764,7381.77488,0.024428867,51.23326286,1.76,23.45679012
Morocco,MAR,1.808085149,80.50080887,3.118587555,3296.210449,-0.229766533,49.65607275,2.415,20.50632911
Mozambique,MOZ,0.236202713,37.41686971,1.335336546,604.0071745,-1.053599477,50.9687846,4.852,39.6
